Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2014-01-02,2014,1,2,Thursday,00,2014-00,78.72,79.47,78.5,78.91,6878000.0,67.34,0.0,78.91,78.91
2014-01-03,2014,1,3,Friday,00,2014-00,78.81,79.13,78.52,78.65,4957400.0,67.11,-0.0032949198348005693,78.78,78.78
2014-01-06,2014,1,6,Monday,01,2014-01,78.86,78.91,77.79,78.21,7280200.0,66.74,-0.00559443652727043,78.58999999999999,78.58999999999999
2014-01-07,2014,1,7,Tuesday,01,2014-01,78.17,78.85,77.92,78.45,5012300.0,66.94,0.0030686340183985195,78.55499999999999,78.55499999999999
2014-01-08,2014,1,8,Wednesday,01,2014-01,78.5,78.51,77.6,77.83,5955200.0,66.41,-0.007903061074642781,78.41,78.41
2014-01-09,2014,1,9,Thursday,01,2014-01,78.39,78.4,77.49,78.09,5916300.0,66.64,0.0033405435014675078,78.35666666666667,78.35666666666667
2014-01-10,2014,1,10,Friday,01,2014-01,78.31,78.72,77.54,78.04,5181300.0,66.59,-0.0006402282585205032,78.31142857142856,78.31142857142856
2014-01-13,2014,1,13,Monday,02,2014-02,77.6,77.97,77.24,77.49,6157900.0,66.12,-0.00704770688500056,78.20875,78.20875
2014-01-14,2014,1,14,Tuesday,02,2014-02,77.46,78.0,77.38,77.96,4088200.0,66.52,0.006065314668473709,78.18111111111111,78.18111111111111
2014-01-15,2014,1,15,Wednesday,02,2014-02,77.96,78.1,77.57,77.66,4992400.0,66.27,-0.0038480685721690167,78.12899999999999,78.12899999999999
2014-01-16,2014,1,16,Thursday,02,2014-02,77.39,77.47,76.35,76.76,7201500.0,65.5,-0.011588996696352494,78.00454545454545,78.00454545454545
2014-01-17,2014,1,17,Friday,02,2014-02,76.73,76.82,76.03,76.19,11440700.0,65.01,-0.007425738391885539,77.85333333333334,77.85333333333334
2014-01-21,2014,1,21,Tuesday,03,2014-03,76.25,76.39,74.86,75.84,8971100.0,64.72,-0.004593858673056173,77.69846153846154,77.69846153846154
2014-01-22,2014,1,22,Wednesday,03,2014-03,76.08,76.08,75.03,75.35,5853700.0,64.3,-0.006460942608520703,77.5307142857143,77.5307142857143
2014-01-23,2014,1,23,Thursday,03,2014-03,74.84,75.12,74.47,74.96,6006300.0,63.96,-0.005175838056352244,77.24857142857142,77.35933333333334
2014-01-24,2014,1,24,Friday,03,2014-03,74.73,75.12,74.23,74.42,9332800.0,63.5,-0.0072038543506225405,76.94642857142857,77.17562500000001
2014-01-27,2014,1,27,Monday,04,2014-04,74.13,74.37,73.83,74.15,9088700.0,63.27,-0.003628011955247201,76.65642857142858,76.99764705882355
2014-01-28,2014,1,28,Tuesday,04,2014-04,74.26,75.4,74.1,74.67,6023400.0,63.72,0.007012766451325314,76.38642857142858,76.86833333333335
2014-01-29,2014,1,29,Wednesday,04,2014-04,75.29,75.37,74.07,74.1,8433700.0,63.23,-0.007633583886456741,76.12,76.72263157894739
2014-01-30,2014,1,30,Thursday,04,2014-04,74.54,75.09,74.36,74.75,6732900.0,63.79,0.008771950597352696,75.88142857142859,76.62400000000001
2014-01-31,2014,1,31,Friday,04,2014-04,73.92,75.19,73.64,74.68,10544800.0,63.73,-0.0009364507668792044,75.64142857142859,76.53142857142859
2014-02-03,2014,2,3,Monday,05,2014-05,74.19,74.5,72.54,72.66,10430700.0,62.0,-0.027048696234758918,75.29642857142859,76.35545454545456
2014-02-04,2014,2,4,Tuesday,05,2014-05,72.67,73.1,72.3,72.73,7755500.0,62.06,0.0009633868881941954,74.92285714285717,76.19782608695654
2014-02-05,2014,2,5,Wednesday,05,2014-05,72.27,73.16,72.27,72.87,4774300.0,62.18,0.0019249193343409132,74.58071428571431,76.05916666666668
2014-02-06,2014,2,6,Thursday,05,2014-05,72.97,73.21,72.5,72.82,7353100.0,62.14,-0.0006861952775232272,74.29928571428573,75.92960000000002
2014-02-07,2014,2,7,Friday,05,2014-05,73.05,73.8,72.5,73.75,7287600.0,62.93,0.012771220943054828,74.12500000000001,75.84576923076925
2014-02-10,2014,2,10,Monday,06,2014-06,73.59,73.76,72.96,73.76,6204100.0,62.94,0.00013562218617590993,73.9764285714286,75.76851851851853
2014-02-11,2014,2,11,Tuesday,06,2014-06,73.9,74.85,73.67,74.8,6511200.0,63.83,0.01409979508415038,73.93714285714289,75.73392857142859
2014-02-12,2014,2,12,Wednesday,06,2014-06,74.22,75.18,74.22,74.96,5339800.0,63.96,0.0021389843073151837,73.93714285714289,75.70724137931037
2014-02-13,2014,2,13,Thursday,06,2014-06,74.68,75.49,74.56,75.36,5250200.0,64.31,0.005336199716706735,74.00428571428573,75.6956666666667
2014-02-14,2014,2,14,Friday,06,2014-06,75.4,75.99,75.1,75.79,4908900.0,64.67,0.005705948801660643,74.12142857142858,75.69870967741937
2014-02-18,2014,2,18,Tuesday,07,2014-07,75.49,75.65,74.86,75.33,5993800.0,64.28,-0.006069390142709685,74.16857142857143,75.68718750000002
2014-02-19,2014,2,19,Wednesday,07,2014-07,75.01,75.32,74.41,74.85,8130300.0,63.87,-0.006372007769362753,74.22214285714286,75.6618181818182
2014-02-20,2014,2,20,Thursday,07,2014-07,73.05,74.0,72.81,73.52,13079100.0,62.74,-0.017768895900706405,74.13428571428571,75.59882352941179
2014-02-21,2014,2,21,Friday,07,2014-07,73.19,73.4,72.82,73.12,8971000.0,62.39,-0.005440613639120739,74.02285714285713,75.52800000000002
2014-02-24,2014,2,24,Monday,08,2014-08,73.24,73.82,73.14,73.35,7321500.0,62.59,0.003145455674231634,74.07214285714284,75.46750000000002
2014-02-25,2014,2,25,Tuesday,08,2014-08,73.18,73.74,73.09,73.35,9482700.0,62.59,0.0,74.11642857142854,75.41027027027027
2014-02-26,2014,2,26,Wednesday,08,2014-08,73.94,75.1,73.79,74.78,9022200.0,63.81,0.019495573754923834,74.25285714285711,75.39368421052633
2014-02-27,2014,2,27,Thursday,08,2014-08,74.78,74.78,74.09,74.56,5448200.0,63.62,-0.0029419794636855734,74.37714285714283,75.3723076923077
2014-02-28,2014,2,28,Friday,08,2014-08,74.48,75.19,74.2,74.7,7444600.0,63.74,0.0018776742788706446,74.44499999999996,75.3555
2014-03-03,2014,3,3,Monday,09,2014-09,74.49,74.67,73.83,74.12,5347600.0,63.25,-0.007764313592435901,74.47071428571425,75.32536585365854
2014-03-04,2014,3,4,Tuesday,09,2014-09,74.77,75.49,74.66,75.13,7543800.0,64.11,0.01362647692133967,74.49428571428567,75.32071428571429
2014-03-05,2014,3,5,Wednesday,09,2014-09,75.32,75.33,74.58,74.8,5524800.0,63.83,-0.004392309513163828,74.4828571428571,75.3086046511628
2014-03-06,2014,3,6,Thursday,09,2014-09,74.86,75.11,74.51,74.88,5106600.0,63.9,0.0010694411550331573,74.4485714285714,75.29886363636365
2014-03-07,2014,3,7,Friday,09,2014-09,74.96,74.96,74.36,74.58,5054600.0,64.05,-0.004006349270393228,74.36214285714281,75.2828888888889
2014-03-10,2014,3,10,Monday,10,2014-10,74.52,74.6,74.05,74.43,4827000.0,63.92,-0.0020112834834558058,74.29785714285711,75.26434782608696
2014-03-11,2014,3,11,Tuesday,10,2014-10,74.72,74.97,74.2,74.92,9005600.0,64.34,0.006583338193745236,74.30285714285712,75.25702127659575
2014-03-12,2014,3,12,Wednesday,10,2014-10,74.85,75.75,74.82,75.53,8627600.0,64.87,0.008142026498399124,74.44642857142856,75.26270833333335
2014-03-13,2014,3,13,Thursday,10,2014-10,75.71,76.18,74.91,74.93,5824500.0,64.35,-0.007943843291647879,74.57571428571428,75.25591836734695
2014-03-14,2014,3,14,Friday,10,2014-10,74.67,75.07,74.27,74.28,6619000.0,63.79,-0.008674783440965839,74.64214285714286,75.23640000000002
2014-03-17,2014,3,17,Monday,11,2014-11,74.3,74.85,74.01,74.68,5780400.0,64.14,0.005385050248417622,74.73714285714287,75.15180000000001
2014-03-18,2014,3,18,Tuesday,11,2014-11,74.66,74.99,74.45,74.77,3943800.0,64.21,0.0012050928966638175,74.73642857142859,75.0742
2014-03-19,2014,3,19,Wednesday,11,2014-11,74.56,75.11,74.02,74.38,5761100.0,63.88,-0.005215987791335586,74.72357142857143,74.9976
2014-03-20,2014,3,20,Thursday,11,2014-11,74.02,75.68,73.86,75.38,8637500.0,64.74,0.013444474817509544,74.77214285714287,74.93620000000001
2014-03-21,2014,3,21,Friday,11,2014-11,75.89,77.02,75.45,76.1,17160200.0,65.36,0.009551621742337923,74.91357142857143,74.90160000000002
2014-03-24,2014,3,24,Monday,12,2014-12,76.21,76.8,76.11,76.76,7279500.0,65.92,0.008672847244981519,75.03,74.87500000000001
2014-03-25,2014,3,25,Tuesday,12,2014-12,76.88,77.14,76.16,76.87,7382200.0,66.02,0.001433045952191847,75.17785714285715,74.85160000000002
2014-03-26,2014,3,26,Wednesday,12,2014-12,77.08,77.53,76.23,76.23,7727800.0,65.47,-0.008325736526357708,75.27428571428572,74.82640000000002
2014-03-27,2014,3,27,Thursday,12,2014-12,76.38,76.82,76.04,76.14,5596600.0,65.39,-0.0011806895359000036,75.38571428571431,74.79000000000002
